variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,620000,contextual_point,1,531,2024-04-15,0.9973539272030651,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,8,531,0.9348402435686918,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,23.0
raw,620000,contextual_point,2,584,2024-06-07,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0,log1p,28,584,0.8336070060207992,3,2,dp;zms;isolation_forest,units;calf,0,,
raw,620000,contextual_point,3,580,2024-06-03,0.993431855500821,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0,log1p,2,580,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,5,364,2023-10-31,0.9775075259989052,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,5.0,log1p,31,364,0.8285834017515052,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,6,153,2023-04-03,0.9758193076081008,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0,log1p,23,153,0.8560396141215106,5,0,dp;zms;units;isolation_forest;calf,,1,units,36.0
raw,620000,contextual_point,9,97,2023-02-06,0.9518695265462508,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,7.0,log1p,16,97,0.8943777367268746,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,36.0
raw,620000,contextual_point,10,581,2024-06-04,0.9507389162561576,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,5.0,log1p,13,581,0.9113300492610836,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,6.0
raw,620000,contextual_point,13,489,2024-03-04,0.9377959085933224,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,21.0,log1p,20,489,0.8716646141215106,5,0,dp;zms;units;isolation_forest;calf,,1,dp,44.0
raw,620000,contextual_point,15,561,2024-05-15,0.925899698960044,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,24.0,log1p,22,561,0.8628266967706623,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,24.0
raw,620000,contextual_point,16,538,2024-04-22,0.9218031609195402,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,14.0,log1p,11,538,0.9200465243568692,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0
raw,620000,contextual_point,17,134,2023-03-15,0.9201320470717022,5,0,dp;zms;units;isolation_forest;calf,,3,units;isolation_forest;calf,39.0,log1p,44,134,0.8002685413245759,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,18,55,2022-12-26,0.9167812671045428,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,3.0,log1p,35,55,0.823561507936508,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,11.0
raw,620000,contextual_point,19,596,2024-06-19,0.8968253968253967,3,2,dp;zms;isolation_forest,units;calf,1,isolation_forest,33.0,log1p,1,596,0.9956212370005474,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,22,111,2023-02-20,0.8809780377668309,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,24.0,log1p,39,111,0.8160269567597155,5,0,dp;zms;units;isolation_forest;calf,,1,dp,47.0
raw,620000,contextual_point,24,482,2024-02-26,0.8641488779419813,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,28.0,log1p,48,482,0.7893250547345374,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,26,570,2024-05-24,0.8550629447181171,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,23.0,log1p,15,570,0.8993671319102354,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,21.0
raw,620000,contextual_point,28,524,2024-04-08,0.8496750136836344,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,48.0,log1p,17,524,0.883829365079365,5,0,dp;zms;units;isolation_forest;calf,,1,isolation_forest,39.0
raw,620000,contextual_point,30,356,2023-10-23,0.8459342501368363,5,0,dp;zms;units;isolation_forest;calf,,2,dp;zms,26.0,log1p,42,356,0.8056000273672688,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,33,160,2023-04-10,0.8309763273125341,5,0,dp;zms;units;isolation_forest;calf,,1,zms,45.0,log1p,47,160,0.7902623836891078,5,0,dp;zms;units;isolation_forest;calf,,0,,
