consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,584,2024-06-07,0.9889162561576355,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0,1,584,0.9835796387520526,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
2,562,2024-05-16,0.9749411603721949,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0,2,562,0.9634805008210181,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,3.0
3,580,2024-06-03,0.9724527914614122,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,8.0,3,580,0.9479433497536945,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,6.0
4,541,2024-04-25,0.9724088669950739,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,6,541,0.9270264094143406,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,3.0
5,538,2024-04-22,0.9704146825396824,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,14,538,0.892027162014231,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,2.0
6,539,2024-04-23,0.9697341269841269,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,9,539,0.9106392993979201,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,7.0
7,531,2024-04-15,0.9693819786535304,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,17,531,0.8853415435139572,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,1.0
8,561,2024-05-15,0.9687469211822659,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0,7,561,0.9234664066776135,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;knn;kmeans,14.0
9,563,2024-05-17,0.9616792556102901,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,15.0,25,563,0.8545889436234264,5,0,catch;tsnet;dagmm;knn;kmeans,,1,kmeans,46.0
10,588,2024-06-11,0.9605110837438423,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,4.0,20,588,0.8786822660098523,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,19.0
11,527,2024-04-11,0.9578402435686918,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0,16,527,0.8907757252326217,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,2.0
12,513,2024-03-28,0.9564979474548441,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,12,513,0.8980876436781609,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;tsnet,9.0
13,596,2024-06-19,0.9518165024630543,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,14.0,5,596,0.9372824302134647,4,1,tsnet;dagmm;knn;kmeans,catch,3,dagmm;knn;kmeans,12.0
14,582,2024-06-05,0.9506527093596059,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,15.0,11,582,0.8982717569786536,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,20.0
15,486,2024-03-01,0.948854542966612,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,15,486,0.8915479611384785,5,0,catch;tsnet;dagmm;knn;kmeans,,2,tsnet;knn,6.0
16,528,2024-04-12,0.94863013136289,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,10.0,37,528,0.8244726327312535,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,40.0
17,499,2024-03-14,0.9403486590038315,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,5.0,22,499,0.8736647509578545,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,4.0
18,577,2024-05-31,0.9398932676518883,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,28.0,18,577,0.8829392446633826,4,1,tsnet;dagmm;knn;kmeans,catch,2,knn;kmeans,32.0
19,581,2024-06-04,0.9391153530377668,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,22.0,32,581,0.8382512315270936,4,1,tsnet;dagmm;knn;kmeans,catch,2,dagmm;kmeans,26.0
20,521,2024-04-05,0.937804324028462,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,17.0,35,521,0.8340231937602628,5,0,catch;tsnet;dagmm;knn;kmeans,,2,catch;tsnet,12.0
21,576,2024-05-30,0.9321182266009852,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;dagmm;kmeans,24.0,30,576,0.8431588669950739,4,1,tsnet;dagmm;knn;kmeans,catch,1,kmeans,33.0
22,425,2023-12-31,0.9318436644772852,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,4,425,0.9457178434592228,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0
23,471,2024-02-15,0.92773973727422,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,13.0,13,471,0.8961911603721949,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,11.0
24,570,2024-05-24,0.9225387246852765,5,0,catch;tsnet;dagmm;knn;kmeans,,2,dagmm;kmeans,18.0,28,570,0.8510531609195402,5,0,catch;tsnet;dagmm;knn;kmeans,,3,dagmm;knn;kmeans,10.0
