consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,541,2024-04-25,0.9986863711001643,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,7,541,0.9451833607006022,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,5.0
3,538,2024-04-22,0.9894157088122604,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0,1,538,0.9933754105090312,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
4,531,2024-04-15,0.9882423371647511,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0,4,531,0.9837472632731252,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0
5,425,2023-12-31,0.9840483032293378,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0,3,425,0.9838516009852217,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
6,486,2024-03-01,0.9807266009852217,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,12,486,0.9194444444444445,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,17.0
7,527,2024-04-11,0.9791581143951833,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0,34,527,0.820486111111111,5,0,dp;zms;units;isolation_forest;calf,,1,zms,40.0
8,499,2024-03-14,0.9778547482211275,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,26,499,0.8460351669403394,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;isolation_forest,30.0
11,370,2023-11-06,0.9676741242474002,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0,11,370,0.9264949370552819,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,6.0
12,254,2023-07-13,0.9671301997810617,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,9.0,9,254,0.9325208675424193,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,12.0
13,229,2023-06-18,0.9606595511767926,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,18.0,8,229,0.9424415024630541,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,9.0
15,561,2024-05-15,0.9565818281335524,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,13.0,17,561,0.8708846469622331,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,17.0
16,513,2024-03-28,0.9543411330049262,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,9.0,40,513,0.8070727285166941,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,15.0
17,580,2024-06-03,0.9436234263820471,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,19.0,5,580,0.983032293377121,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
19,539,2024-04-23,0.9338840996168584,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,3.0,16,539,0.8733254652435687,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,4.0
21,314,2023-09-11,0.9330682129173506,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,22.0,21,314,0.8649083196496988,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,14.0
23,364,2023-10-31,0.9201919129720852,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,35.0,31,364,0.8282464422550628,5,0,dp;zms;units;isolation_forest;calf,,1,units,44.0
24,153,2023-04-03,0.9189655172413793,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,15.0,13,153,0.9079296661193214,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,3.0
25,321,2023-09-18,0.9186832922824302,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,25.0,41,321,0.8001847290640394,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,21.0
