consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,486,2024-03-01,0.9973539272030651,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
2,531,2024-04-15,0.9966971127531472,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
3,209,2023-05-29,0.9903444854953476,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0
4,580,2024-06-03,0.9797482211275316,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,9.0
5,251,2023-07-10,0.9773672687465791,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0
6,505,2024-03-20,0.9773296387520526,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0
7,561,2024-05-15,0.973546113847838,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,4.0
8,562,2024-05-16,0.9698327175697866,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,1.0
9,170,2023-04-20,0.9689313081554461,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,14.0
10,596,2024-06-19,0.9611384783798577,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,22.0
11,364,2023-10-31,0.9545737547892721,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,15.0
12,471,2024-02-15,0.952705938697318,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,6.0
13,272,2023-07-31,0.9482194170771757,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,10.0
14,519,2024-04-03,0.9463635741652983,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,19.0
15,563,2024-05-17,0.9336497673782157,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,4.0
16,153,2023-04-03,0.9312824986316365,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,10.0
17,385,2023-11-21,0.9263102079912425,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,20.0
18,527,2024-04-11,0.9253455117679256,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,7.0
19,356,2023-10-23,0.9225608921729611,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,22.0
20,513,2024-03-28,0.90834530651341,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,9.0
21,489,2024-03-04,0.9022577996715928,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,32.0
22,581,2024-06-04,0.8981937602627258,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,13.0
23,260,2023-07-19,0.8978687739463602,5,0,dp;zms;units;isolation_forest;calf,,1,units,46.0
24,472,2024-02-16,0.892342296113848,5,0,dp;zms;units;isolation_forest;calf,,4,zms;units;isolation_forest;calf,4.0
25,139,2023-03-20,0.8905275041050903,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,40.0
26,588,2024-06-11,0.8845101258894363,3,2,dp;zms;isolation_forest,units;calf,0,,
