consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,566,2024-05-20,0.9728963464696223,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
2,561,2024-05-15,0.9541421045429666,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,1.0
3,562,2024-05-16,0.9499696223316914,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,1.0
4,531,2024-04-15,0.9429460864805692,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
5,596,2024-06-19,0.9411124794745485,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,8.0
6,575,2024-05-29,0.9312296798029557,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;ocsvm,1.0
7,577,2024-05-31,0.9223788998357964,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,1.0
8,528,2024-04-12,0.9217773672687466,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,11.0
9,597,2024-06-20,0.9010139573070608,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,7.0
10,567,2024-05-21,0.8909486863711003,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;itrans,1.0
11,573,2024-05-27,0.8883188286808977,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,1.0
12,570,2024-05-24,0.8871083059660645,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,1.0
13,532,2024-04-16,0.8816760399562125,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
14,568,2024-05-22,0.8766092638204708,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;itrans,1.0
15,581,2024-06-04,0.8642344006568144,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,1.0
16,513,2024-03-28,0.8632717569786535,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,3.0
17,348,2023-10-15,0.8607948823207444,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,3.0
18,546,2024-04-30,0.8590361247947456,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,25.0
19,535,2024-04-19,0.8561751505199782,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
20,602,2024-06-25,0.8503010399562124,3,2,kmeans;dwt;ocsvm,calf;itrans,1,kmeans,2.0
21,580,2024-06-03,0.8496572249589491,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,1.0
22,538,2024-04-22,0.8489798166392994,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,14.0
23,542,2024-04-26,0.8415145046524357,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,18.0
24,476,2024-02-20,0.840323754789272,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,21.0
25,500,2024-03-15,0.8381334838533114,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,4.0
26,323,2023-09-20,0.8371406677613574,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,11.0
27,391,2023-11-27,0.8355537766830871,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,31.0
28,583,2024-06-06,0.8350615763546798,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
29,555,2024-05-09,0.8337162698412699,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,18.0
30,593,2024-06-16,0.8333784893267652,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;itrans,15.0
31,585,2024-06-08,0.8312992610837439,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
32,344,2023-10-11,0.8309150246305419,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,11.0
33,591,2024-06-14,0.8279597701149425,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
34,590,2024-06-13,0.827524630541872,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
35,548,2024-05-02,0.8260679392446633,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,22.0
36,554,2024-05-08,0.8188184181718665,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,33.0
37,556,2024-05-10,0.8181002326217843,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,14.0
38,563,2024-05-17,0.8164624384236454,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;ocsvm,1.0
39,569,2024-05-23,0.813980500821018,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;itrans,1.0
40,347,2023-10-14,0.8130636973180078,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,33.0
41,587,2024-06-10,0.8125123152709359,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
42,589,2024-06-12,0.8100369458128078,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
43,504,2024-03-19,0.8086988232074439,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,15.0
44,498,2024-03-13,0.8046805555555556,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,38.0
45,380,2023-11-16,0.8043171182266009,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,34.0
46,345,2023-10-12,0.8023395593869731,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,5.0
47,486,2024-03-01,0.8011285577449371,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,41.0
48,356,2023-10-23,0.8008948412698412,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,11.0
49,519,2024-04-03,0.799996852764094,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,21.0
