consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.916256157635468,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,1.0
2,580,2024-06-03,0.913786945812808,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,1.0
3,527,2024-04-11,0.9116150109469074,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
4,500,2024-03-15,0.907522099069513,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,12.0
5,582,2024-06-05,0.8998563218390805,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,10.0
6,520,2024-04-04,0.8986328680897646,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,7.0
7,521,2024-04-05,0.8794445128626164,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,6.0
8,598,2024-06-21,0.8713977832512315,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,7.0
9,391,2023-11-27,0.8643828680897647,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,dwt;calf;itrans;ocsvm,5.0
10,387,2023-11-23,0.85723864258347,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,9.0
11,402,2023-12-08,0.8557374110563766,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,3.0
12,501,2024-03-16,0.8545086206896553,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,17.0
13,489,2024-03-04,0.8432092227695677,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,33.0
14,531,2024-04-15,0.8352939244663382,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
15,364,2023-10-31,0.8238975779967159,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
16,478,2024-02-22,0.8144762588943623,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
17,484,2024-02-28,0.8133662424740011,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
18,379,2023-11-15,0.8132222906403941,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,18.0
19,384,2023-11-20,0.8091540777230433,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,41.0
