consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,1.0,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0
2,538,2024-04-22,0.9949986316365628,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,2.0
3,584,2024-06-07,0.9928845101258895,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,2.0
4,513,2024-03-28,0.9867131910235358,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,4.0
5,580,2024-06-03,0.9835796387520525,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,5.0
6,588,2024-06-11,0.9778325123152709,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,8.0
7,539,2024-04-23,0.97603482484948,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,3.0
8,531,2024-04-15,0.9730688970990695,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,10.0
9,562,2024-05-16,0.9711788451012587,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,8.0
10,542,2024-04-26,0.963994937055282,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,2.0
11,596,2024-06-19,0.9625068418171866,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,21.0
12,153,2023-04-03,0.9610546661193213,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,8.0
13,581,2024-06-04,0.9603174603174603,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,10.0
14,55,2022-12-26,0.959087643678161,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,9.0
15,120,2023-03-01,0.957380610290093,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,11.0
16,587,2024-06-10,0.9526546250684182,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,23.0
17,289,2023-08-17,0.9524014778325123,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,18.0
18,532,2024-04-16,0.950403667214012,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,12.0
19,351,2023-10-18,0.9481065270935961,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;isolation_forest;calf,5.0
20,559,2024-05-13,0.9469160509031198,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,14.0
21,563,2024-05-17,0.9447078544061304,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,12.0
22,364,2023-10-31,0.9428913519430762,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,22.0
23,521,2024-04-05,0.9310413245758073,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,13.0
24,570,2024-05-24,0.9289922003284072,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;isolation_forest,7.0
25,484,2024-02-28,0.9171986179529282,5,0,dp;zms;units;isolation_forest;calf,,3,zms;isolation_forest;calf,37.0
26,589,2024-06-12,0.9165298303229338,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,11.0
27,576,2024-05-30,0.9146141215106732,3,2,dp;zms;isolation_forest,units;calf,1,zms,29.0
28,350,2023-10-17,0.9138700738916257,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,20.0
29,482,2024-02-26,0.9128745894909688,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;calf,25.0
30,561,2024-05-15,0.9086617405582924,5,0,dp;zms;units;isolation_forest;calf,,3,zms;units;calf,25.0
31,560,2024-05-14,0.908405172413793,5,0,dp;zms;units;isolation_forest;calf,,2,isolation_forest;calf,7.0
32,594,2024-06-17,0.8998357963875204,3,2,dp;zms;isolation_forest,units;calf,2,dp;zms,34.0
33,486,2024-03-01,0.8899391078270389,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,29.0
34,519,2024-04-03,0.8852815407772304,5,0,dp;zms;units;isolation_forest;calf,,2,zms;units,39.0
35,121,2023-03-02,0.8824387657361795,5,0,dp;zms;units;isolation_forest;calf,,2,dp;isolation_forest,18.0
36,573,2024-05-27,0.8758689107827038,5,0,dp;zms;units;isolation_forest;calf,,1,zms,39.0
37,476,2024-02-20,0.8728773262178434,5,0,dp;zms;units;isolation_forest;calf,,0,,
38,597,2024-06-20,0.8697318007662834,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,36.0
39,175,2023-04-25,0.8688611795292829,5,0,dp;zms;units;isolation_forest;calf,,1,zms,29.0
40,574,2024-05-28,0.8684865900383141,5,0,dp;zms;units;isolation_forest;calf,,2,zms;isolation_forest,29.0
41,514,2024-03-29,0.8657652572523261,5,0,dp;zms;units;isolation_forest;calf,,4,dp;units;isolation_forest;calf,5.0
42,170,2023-04-20,0.8580083470169676,5,0,dp;zms;units;isolation_forest;calf,,1,zms,37.0
43,577,2024-05-31,0.8549534756431308,3,2,dp;zms;isolation_forest,units;calf,1,zms,20.0
44,540,2024-04-24,0.8536877394636015,5,0,dp;zms;units;isolation_forest;calf,,3,dp;units;isolation_forest,2.0
45,402,2023-12-08,0.8529197454844006,5,0,dp;zms;units;isolation_forest;calf,,1,zms,42.0
46,2,2022-11-03,0.8487872879036672,5,0,dp;zms;units;isolation_forest;calf,,1,units,43.0
47,526,2024-04-10,0.8475215517241379,5,0,dp;zms;units;isolation_forest;calf,,2,zms;calf,21.0
