variant,anomaly_type,method,customer,date,score,score_pct,rank
raw,multivariate_dependency,catch,ALL,2024-04-25,84.16153717041016,1.0,1
raw,multivariate_dependency,catch,ALL,2024-04-22,54.419715881347656,0.9982638888888888,2
raw,multivariate_dependency,catch,ALL,2024-04-23,41.80569839477539,0.9965277777777778,3
raw,multivariate_dependency,catch,ALL,2024-04-15,29.968482971191406,0.9947916666666666,4
raw,multivariate_dependency,catch,ALL,2024-05-16,26.88442611694336,0.9930555555555556,5
raw,multivariate_dependency,catch,ALL,2024-04-11,25.418636322021484,0.9913194444444444,6
raw,multivariate_dependency,catch,ALL,2024-03-28,18.914880752563477,0.9895833333333334,7
raw,multivariate_dependency,catch,ALL,2024-03-14,12.903916358947754,0.9878472222222222,8
raw,multivariate_dependency,catch,ALL,2024-05-15,12.88611125946045,0.9861111111111112,9
raw,multivariate_dependency,catch,ALL,2024-03-01,11.482950210571289,0.984375,10
raw,multivariate_dependency,catch,ALL,2024-05-17,10.574163436889648,0.9826388888888888,11
raw,multivariate_dependency,catch,ALL,2023-10-31,10.259737968444824,0.9809027777777778,12
raw,multivariate_dependency,catch,ALL,2023-03-01,9.8278169631958,0.9791666666666666,13
raw,multivariate_dependency,catch,ALL,2024-02-15,9.2835111618042,0.9774305555555556,14
raw,multivariate_dependency,catch,ALL,2023-04-03,9.250289916992188,0.9756944444444444,15
raw,multivariate_dependency,catch,ALL,2023-11-23,8.870348930358887,0.9739583333333334,16
raw,multivariate_dependency,catch,ALL,2023-10-18,8.283885955810547,0.9722222222222222,17
raw,multivariate_dependency,catch,ALL,2023-05-04,8.160531044006348,0.9704861111111112,18
raw,multivariate_dependency,catch,ALL,2024-04-12,7.686086654663086,0.96875,19
raw,multivariate_dependency,catch,ALL,2024-04-05,7.554306983947754,0.9670138888888888,20
raw,multivariate_dependency,catch,ALL,2023-10-05,5.691617965698242,0.9652777777777778,21
raw,multivariate_dependency,catch,ALL,2022-12-26,5.542754650115967,0.9635416666666666,22
raw,multivariate_dependency,catch,ALL,2023-04-25,5.395795822143555,0.9618055555555556,23
raw,multivariate_dependency,catch,ALL,2023-11-06,5.004541397094727,0.9600694444444444,24
raw,multivariate_dependency,catch,ALL,2024-05-22,4.493847370147705,0.9583333333333334,25
