group,top_k,raw_count,log1p_count,intersection,union,jaccard
global_point,50,50,50,23,77,0.2987012987012987
contextual_point,50,50,50,25,75,0.3333333333333333
subsequence_pattern,50,50,50,19,81,0.2345679012345679
multivariate_dependency,50,50,50,30,70,0.42857142857142855
