customer,anomaly_type,top_k,raw_count,log1p_count,intersection,union,jaccard
620000,contextual_point,50,50,50,21,79,0.26582278481012656
620000,global_point,50,50,50,13,87,0.14942528735632185
620000,subsequence_pattern,50,50,50,12,88,0.13636363636363635
633000,contextual_point,50,50,50,28,72,0.3888888888888889
633000,global_point,50,50,50,15,85,0.17647058823529413
633000,subsequence_pattern,50,50,50,13,87,0.14942528735632185
2968000,contextual_point,50,50,50,29,71,0.4084507042253521
2968000,global_point,50,50,50,22,78,0.28205128205128205
2968000,subsequence_pattern,50,50,50,27,73,0.3698630136986301
3296000,contextual_point,50,50,50,28,72,0.3888888888888889
3296000,global_point,50,50,50,19,81,0.2345679012345679
3296000,subsequence_pattern,50,50,50,20,80,0.25
13400000,contextual_point,50,50,50,22,78,0.28205128205128205
13400000,global_point,50,50,50,7,93,0.07526881720430108
13400000,subsequence_pattern,50,50,50,15,85,0.17647058823529413
13401000,contextual_point,50,50,50,29,71,0.4084507042253521
13401000,global_point,50,50,50,22,78,0.28205128205128205
13401000,subsequence_pattern,50,50,50,20,80,0.25
161832000,contextual_point,50,50,50,29,71,0.4084507042253521
161832000,global_point,50,50,50,12,88,0.13636363636363635
161832000,subsequence_pattern,50,50,50,25,75,0.3333333333333333
161835000,contextual_point,50,50,50,33,67,0.4925373134328358
161835000,global_point,50,50,50,18,82,0.21951219512195122
161835000,subsequence_pattern,50,50,50,22,78,0.28205128205128205
161836000,contextual_point,50,50,50,31,69,0.4492753623188406
161836000,global_point,50,50,50,20,80,0.25
161836000,subsequence_pattern,50,50,50,24,76,0.3157894736842105
161838000,contextual_point,50,50,50,35,65,0.5384615384615384
161838000,global_point,50,50,50,17,83,0.20481927710843373
161838000,subsequence_pattern,50,50,50,33,67,0.4925373134328358
330387000,contextual_point,50,50,50,31,69,0.4492753623188406
330387000,global_point,50,50,50,24,76,0.3157894736842105
330387000,subsequence_pattern,50,50,50,15,85,0.17647058823529413
