customer,anomaly_type,top_k,raw_count,log1p_count,intersection,union,jaccard
620000,contextual_point,50,50,50,19,81,0.2345679012345679
620000,global_point,50,50,50,7,93,0.07526881720430108
620000,subsequence_pattern,50,50,50,3,97,0.030927835051546393
633000,contextual_point,50,50,50,27,73,0.3698630136986301
633000,global_point,50,50,50,9,91,0.0989010989010989
633000,subsequence_pattern,50,50,50,14,86,0.16279069767441862
2968000,contextual_point,50,50,50,25,75,0.3333333333333333
2968000,global_point,50,50,50,21,79,0.26582278481012656
2968000,subsequence_pattern,50,50,50,27,73,0.3698630136986301
3296000,contextual_point,50,50,50,30,70,0.42857142857142855
3296000,global_point,50,50,50,21,79,0.26582278481012656
3296000,subsequence_pattern,50,50,50,21,79,0.26582278481012656
13400000,contextual_point,50,50,50,19,81,0.2345679012345679
13400000,global_point,50,50,50,12,88,0.13636363636363635
13400000,subsequence_pattern,50,50,50,12,88,0.13636363636363635
13401000,contextual_point,50,50,50,28,72,0.3888888888888889
13401000,global_point,50,50,50,22,78,0.28205128205128205
13401000,subsequence_pattern,50,50,50,15,85,0.17647058823529413
161832000,contextual_point,50,50,50,32,68,0.47058823529411764
161832000,global_point,50,50,50,11,89,0.12359550561797752
161832000,subsequence_pattern,50,50,50,21,79,0.26582278481012656
161835000,contextual_point,50,50,50,32,68,0.47058823529411764
161835000,global_point,50,50,50,23,77,0.2987012987012987
161835000,subsequence_pattern,50,50,50,31,69,0.4492753623188406
161836000,contextual_point,50,50,50,31,69,0.4492753623188406
161836000,global_point,50,50,50,19,81,0.2345679012345679
161836000,subsequence_pattern,50,50,50,24,76,0.3157894736842105
161838000,contextual_point,50,50,50,34,66,0.5151515151515151
161838000,global_point,50,50,50,24,76,0.3157894736842105
161838000,subsequence_pattern,50,50,50,27,73,0.3698630136986301
330387000,contextual_point,50,50,50,28,72,0.3888888888888889
330387000,global_point,50,50,50,17,83,0.20481927710843373
330387000,subsequence_pattern,50,50,50,23,77,0.2987012987012987
