variant_raw,customer,anomaly_type,consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,variant_log1p,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
raw,620000,contextual_point,1,531,2024-04-15,0.997006704980843,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,1.0,log1p,9,531,0.9372434318555009,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,13.0
raw,620000,contextual_point,2,584,2024-06-07,0.9967159277504104,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0,log1p,29,584,0.8451012588943624,3,2,dp;zms;isolation_forest,units;calf,0,,
raw,620000,contextual_point,3,580,2024-06-03,0.9939792008757524,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,3.0,log1p,2,580,0.9945265462506844,3,2,dp;zms;isolation_forest,units;calf,3,dp;zms;isolation_forest,1.0
raw,620000,contextual_point,4,364,2023-10-31,0.9820590448823208,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,6.0,log1p,43,364,0.7964131773399015,5,0,dp;zms;units;isolation_forest;calf,,0,,
raw,620000,contextual_point,6,97,2023-02-06,0.9705818965517242,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,7.0,log1p,18,97,0.8910372194854954,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,34.0
raw,620000,contextual_point,7,391,2023-11-27,0.9639949370552818,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,12.0,log1p,19,391,0.8859742747673783,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,15.0
raw,620000,contextual_point,10,561,2024-05-15,0.9519328133552272,5,0,dp;zms;units;isolation_forest;calf,,5,dp;zms;units;isolation_forest;calf,18.0,log1p,24,561,0.867508210180624,5,0,dp;zms;units;isolation_forest;calf,,2,units;calf,23.0
raw,620000,contextual_point,11,581,2024-06-04,0.9507389162561576,3,2,dp;zms;isolation_forest,units;calf,2,dp;isolation_forest,5.0,log1p,13,581,0.9140667761357416,3,2,dp;zms;isolation_forest,units;calf,2,zms;isolation_forest,4.0
raw,620000,contextual_point,14,489,2024-03-04,0.93957991242474,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,14.0,log1p,20,489,0.8822318007662835,5,0,dp;zms;units;isolation_forest;calf,,3,dp;zms;units,43.0
raw,620000,contextual_point,18,461,2024-02-05,0.9258347016967708,5,0,dp;zms;units;isolation_forest;calf,,4,dp;zms;units;calf,9.0,log1p,46,461,0.7887041598248494,5,0,dp;zms;units;isolation_forest;calf,,1,units,31.0
