consensus_rank_raw,row_raw,timestamp,consensus_score_raw,available_method_count_raw,missing_method_count_raw,methods_available_raw,methods_missing_raw,methods_in_top_k_raw,methods_triggered_raw,best_method_rank_raw,consensus_rank_log1p,row_log1p,consensus_score_log1p,available_method_count_log1p,missing_method_count_log1p,methods_available_log1p,methods_missing_log1p,methods_in_top_k_log1p,methods_triggered_log1p,best_method_rank_log1p
1,584,2024-06-07,0.985632183908046,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0,1,584,0.9745484400656814,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0
2,541,2024-04-25,0.9796338259441708,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0,3,541,0.9359081828133553,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,3.0
3,580,2024-06-03,0.9781876026272578,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,1.0,5,580,0.9340845648604269,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,29.0
4,562,2024-05-16,0.9775684181718665,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,1.0,2,562,0.9598492063492063,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,3.0
5,538,2024-04-22,0.9730419403393542,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,7,538,0.9283588533114395,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0
6,539,2024-04-23,0.9730181992337166,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,11,539,0.9107974137931036,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,4.0
7,531,2024-04-15,0.9703672003284071,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,12,531,0.910648604269294,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,1.0
8,527,2024-04-11,0.9627663519430761,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,2.0,16,527,0.8961055008210181,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,2.0
9,513,2024-03-28,0.9574880952380953,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,1.0,9,513,0.9178597427476737,5,0,catch;tsnet;dagmm;knn;kmeans,,3,catch;tsnet;knn,15.0
10,563,2024-05-17,0.9568718527640941,5,0,catch;tsnet;dagmm;knn;kmeans,,5,catch;tsnet;dagmm;knn;kmeans,12.0,29,563,0.8386599616858238,5,0,catch;tsnet;dagmm;knn;kmeans,,1,kmeans,46.0
11,499,2024-03-14,0.9541802818828682,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;dagmm;knn,4.0,25,499,0.8573559113300494,5,0,catch;tsnet;dagmm;knn;kmeans,,1,tsnet,14.0
12,561,2024-05-15,0.9536540777230431,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;knn;kmeans,9.0,6,561,0.9300273672687466,5,0,catch;tsnet;dagmm;knn;kmeans,,4,catch;tsnet;knn;kmeans,11.0
13,582,2024-06-05,0.9526498357963875,4,1,tsnet;dagmm;knn;kmeans,catch,4,tsnet;dagmm;knn;kmeans,20.0,14,582,0.9005788177339902,4,1,tsnet;dagmm;knn;kmeans,catch,3,tsnet;knn;kmeans,25.0
