consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.985216748768473,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
2,539,2024-04-23,0.9828892309797481,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,2.0
3,538,2024-04-22,0.9818713054187193,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,3.0
4,531,2024-04-15,0.9686776819923372,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,6.0
5,553,2024-05-07,0.9623884783798576,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,15.0
6,584,2024-06-07,0.9597701149425287,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
7,580,2024-06-03,0.9583025451559934,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
8,559,2024-05-13,0.9482036808976464,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;calf;itrans;ocsvm,11.0
9,581,2024-06-04,0.9473193760262726,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
10,582,2024-06-05,0.9455336617405583,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
11,567,2024-05-21,0.9449838533114395,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,1.0
12,547,2024-05-01,0.9384390394088669,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,11.0
13,566,2024-05-20,0.9364070881226052,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,1.0
14,535,2024-04-19,0.933846880131363,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;itrans,19.0
15,583,2024-06-06,0.9337048440065681,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
16,513,2024-03-28,0.9336786398467434,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,10.0
17,528,2024-04-12,0.932932334428024,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,23.0
18,588,2024-06-11,0.9324096880131363,4,1,kmeans;dwt;itrans;ocsvm,calf,3,dwt;itrans;ocsvm,1.0
19,545,2024-04-29,0.9308658319649699,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,9.0
20,576,2024-05-30,0.923446223316913,4,1,kmeans;dwt;itrans;ocsvm,calf,2,dwt;ocsvm,1.0
21,555,2024-05-09,0.9206422413793105,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;itrans;ocsvm,20.0
22,577,2024-05-31,0.911847290640394,4,1,kmeans;dwt;itrans;ocsvm,calf,2,dwt;ocsvm,1.0
23,594,2024-06-17,0.9079597701149426,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,15.0
24,596,2024-06-19,0.9052955665024631,4,1,kmeans;dwt;itrans;ocsvm,calf,1,ocsvm,23.0
25,560,2024-05-14,0.9021857553366175,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;itrans;ocsvm,1.0
26,549,2024-05-03,0.9003343596059115,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,10.0
27,563,2024-05-17,0.8992762725779967,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,1.0
28,521,2024-04-05,0.8974351395730705,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,19.0
29,532,2024-04-16,0.8936183634373289,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,25.0
30,520,2024-04-04,0.889394499178982,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,31.0
31,554,2024-05-08,0.8891893130815545,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,19.0
32,489,2024-03-04,0.880275588396278,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,21.0
