consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,584,2024-06-07,0.9854269293924467,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
2,588,2024-06-11,0.9810734811165844,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
3,580,2024-06-03,0.9792323481116585,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
4,577,2024-05-31,0.9680931855500821,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
5,582,2024-06-05,0.9673912151067323,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
6,583,2024-06-06,0.9605254515599343,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,1.0
7,581,2024-06-04,0.9382307060755337,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;ocsvm,1.0
8,562,2024-05-16,0.9348611111111111,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;calf;ocsvm,8.0
9,439,2024-01-14,0.9210447454844006,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,6.0
10,553,2024-05-07,0.9176876026272577,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,19.0
11,541,2024-04-25,0.9169853585112205,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
12,538,2024-04-22,0.9130476190476191,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,1.0
13,539,2024-04-23,0.9100158045977012,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,4.0
14,513,2024-03-28,0.9077972769567596,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,5.0
15,429,2024-01-04,0.9034245347564311,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2.0
16,594,2024-06-17,0.8959031198686371,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
17,528,2024-04-12,0.8922843459222769,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,27.0
18,587,2024-06-10,0.88434934318555,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;ocsvm,1.0
19,531,2024-04-15,0.8833435276409414,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,itrans;ocsvm,10.0
20,605,2024-06-28,0.8779419813902573,3,2,kmeans;dwt;ocsvm,calf;itrans,2,kmeans;dwt,1.0
21,603,2024-06-26,0.8762999452654626,3,2,kmeans;dwt;ocsvm,calf;itrans,2,kmeans;dwt,4.0
22,570,2024-05-24,0.8734518336070061,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,17.0
23,566,2024-05-20,0.868656746031746,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,38.0
24,589,2024-06-12,0.8624117405582923,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
25,476,2024-02-20,0.8612435686918445,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,9.0
26,554,2024-05-08,0.8558354542966612,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,33.0
27,464,2024-02-08,0.8534535440613027,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,42.0
28,568,2024-05-22,0.8419430076628351,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;calf;itrans,14.0
29,595,2024-06-18,0.8350759441707717,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,1.0
30,596,2024-06-19,0.828442118226601,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;ocsvm,1.0
31,574,2024-05-28,0.8226538724685277,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,29.0
32,592,2024-06-15,0.8225882594417078,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;dwt;itrans,1.0
33,505,2024-03-20,0.8196657088122604,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,11.0
34,519,2024-04-03,0.8184413656267104,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
35,599,2024-06-22,0.8158723316912972,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
36,486,2024-03-01,0.8116879447181173,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;ocsvm,29.0
37,465,2024-02-09,0.8116832922824303,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,47.0
38,514,2024-03-29,0.7976719348659003,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,18.0
39,443,2024-01-18,0.7966087164750957,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,6.0
40,517,2024-04-01,0.78797030651341,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,9.0
41,606,2024-06-29,0.7868089764641488,3,2,kmeans;dwt;ocsvm,calf;itrans,2,kmeans;dwt,3.0
42,436,2024-01-11,0.784548645320197,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,22.0
43,560,2024-05-14,0.7843475643130815,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,33.0
44,607,2024-06-30,0.7824302134646962,3,2,kmeans;dwt;ocsvm,calf;itrans,2,kmeans;dwt,11.0
45,600,2024-06-23,0.7818828680897646,3,2,kmeans;dwt;ocsvm,calf;itrans,2,kmeans;dwt,12.0
46,458,2024-02-02,0.7812865353037768,5,0,kmeans;dwt;calf;itrans;ocsvm,,0,,
47,567,2024-05-21,0.7787641625615763,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,42.0
48,579,2024-06-02,0.778091133004926,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;dwt,1.0
49,526,2024-04-10,0.777445675971538,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,ocsvm,25.0
50,572,2024-05-26,0.7748260810071155,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,kmeans,37.0
