variant,customer,anomaly_type,method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
raw,620000,global_point,itrans,1,531,2024-04-15,34.537384033203125,1.0,0.8549861111111111,11,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,2,584,2024-06-07,26.41302490234375,0.9983333333333333,0.7933333333333333,30,3,2,itrans;datamole;gpt4ts,calf;units
raw,620000,global_point,itrans,3,580,2024-06-03,19.898632049560547,0.9966666666666667,0.7383333333333333,46,3,2,itrans;datamole;gpt4ts,calf;units
raw,620000,global_point,itrans,4,527,2024-04-11,16.270877838134766,0.995,0.865,10,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,5,379,2023-11-15,9.651415824890137,0.9933333333333333,0.8156944444444445,23,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,6,175,2023-04-25,9.596978187561035,0.9916666666666667,0.8811944444444444,5,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,7,29,2022-11-30,8.198380470275879,0.99,0.7335972222222222,50,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,8,122,2023-03-03,6.737647533416748,0.9883333333333333,0.8498472222222222,14,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,9,2,2022-11-03,6.222087383270264,0.9866666666666667,0.8012638888888889,28,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,10,520,2024-04-04,6.054734706878662,0.985,0.6455416666666667,106,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,11,595,2024-06-18,6.022925853729248,0.9833333333333333,0.7711111111111112,38,3,2,itrans;datamole;gpt4ts,calf;units
raw,620000,global_point,itrans,12,391,2023-11-27,5.7056050300598145,0.9816666666666667,0.8134722222222223,24,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,13,364,2023-10-31,5.6396965980529785,0.98,0.8499722222222221,13,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,14,402,2023-12-08,5.256891250610352,0.9783333333333334,0.9227916666666667,1,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,15,570,2024-05-24,5.2404937744140625,0.9766666666666667,0.7365555555555556,49,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,16,565,2024-05-19,5.21359920501709,0.975,0.7845694444444444,34,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,17,568,2024-05-22,4.956602573394775,0.9733333333333334,0.5725694444444444,170,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,18,55,2022-12-26,4.8808698654174805,0.9716666666666667,0.7322361111111111,51,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,19,489,2024-03-04,4.544032096862793,0.97,0.8069305555555555,25,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,20,508,2024-03-23,4.483983039855957,0.9683333333333334,0.40313888888888894,442,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,21,358,2023-10-25,4.3746418952941895,0.9666666666666667,0.8694166666666667,8,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,22,538,2024-04-22,4.318795680999756,0.965,0.920125,2,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,23,482,2024-02-26,4.221364498138428,0.9633333333333334,0.8311111111111111,18,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,24,119,2023-02-28,4.128787994384766,0.9616666666666667,0.6882222222222223,80,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,25,563,2024-05-17,4.113855838775635,0.96,0.8924583333333332,4,5,0,itrans;calf;units;datamole;gpt4ts,
raw,620000,global_point,itrans,26,160,2023-04-10,4.030580520629883,0.9583333333333334,0.7481388888888889,43,5,0,itrans;calf;units;datamole;gpt4ts,
