consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,541,2024-04-25,0.9970443349753694,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
2,538,2024-04-22,0.9943884099616858,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
3,539,2024-04-23,0.9943646688560481,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
4,531,2024-04-15,0.9690379720853859,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1.0
5,580,2024-06-03,0.959086617405583,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,10.0
6,588,2024-06-11,0.9584031198686371,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,6.0
7,584,2024-06-07,0.9556588669950739,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,1.0
8,583,2024-06-06,0.9550000000000001,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,5.0
9,581,2024-06-04,0.9541358784893268,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,13.0
10,559,2024-05-13,0.9463051450465244,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;ocsvm,16.0
11,553,2024-05-07,0.9424740010946907,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,17.0
12,546,2024-04-30,0.9310362616310893,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;calf,9.0
13,576,2024-05-30,0.930938013136289,4,1,kmeans;dwt;itrans;ocsvm,calf,4,kmeans;dwt;itrans;ocsvm,17.0
14,567,2024-05-21,0.9308291598248495,5,0,kmeans;dwt;calf;itrans;ocsvm,,4,kmeans;dwt;calf;itrans,12.0
15,596,2024-06-19,0.9233107553366173,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,22.0
