anomaly_type,customer,date
global_point,13400000,2022-12-26
global_point,13400000,2023-04-03
global_point,13400000,2023-12-08
global_point,13400000,2024-04-07
global_point,13400000,2024-04-14
global_point,13400000,2024-04-15
global_point,13401000,2023-01-16
global_point,13401000,2023-03-31
global_point,13401000,2023-04-03
global_point,13401000,2023-04-28
global_point,13401000,2023-11-06
global_point,13401000,2023-12-08
global_point,13401000,2024-04-07
global_point,13401000,2024-04-14
global_point,13401000,2024-04-15
global_point,13401000,2024-04-22
global_point,161832000,2022-12-26
global_point,161832000,2023-04-03
global_point,161832000,2024-03-28
global_point,161832000,2024-03-29
global_point,161832000,2024-04-03
global_point,161832000,2024-04-07
global_point,161832000,2024-04-15
global_point,161832000,2024-04-21
global_point,161832000,2024-04-22
global_point,161832000,2024-05-04
global_point,161832000,2024-05-22
global_point,161835000,2022-12-25
global_point,161835000,2022-12-26
global_point,161835000,2023-04-03
global_point,161835000,2023-04-04
global_point,161835000,2024-03-28
global_point,161835000,2024-03-29
global_point,161835000,2024-04-05
global_point,161835000,2024-04-14
global_point,161835000,2024-04-15
global_point,161835000,2024-04-21
global_point,161835000,2024-04-22
global_point,161835000,2024-04-25
global_point,161836000,2023-03-15
global_point,161836000,2023-04-03
global_point,161836000,2023-04-04
global_point,161836000,2024-03-28
global_point,161836000,2024-03-29
global_point,161836000,2024-04-03
global_point,161836000,2024-04-07
global_point,161836000,2024-04-09
global_point,161836000,2024-04-14
global_point,161836000,2024-04-21
global_point,161836000,2024-04-22
global_point,161836000,2024-04-25
global_point,161836000,2024-05-04
global_point,161836000,2024-05-05
global_point,161836000,2024-05-19
global_point,161838000,2022-11-23
global_point,161838000,2023-03-15
global_point,161838000,2023-05-17
global_point,161838000,2023-07-24
global_point,161838000,2023-09-20
global_point,161838000,2023-10-23
global_point,161838000,2024-02-05
global_point,161838000,2024-03-28
global_point,161838000,2024-03-29
global_point,161838000,2024-04-03
global_point,161838000,2024-04-07
global_point,161838000,2024-04-08
global_point,161838000,2024-04-14
global_point,161838000,2024-04-15
global_point,161838000,2024-04-22
global_point,2968000,2023-09-18
global_point,2968000,2023-09-20
global_point,2968000,2023-11-05
global_point,2968000,2023-11-06
global_point,2968000,2023-11-07
global_point,2968000,2023-12-03
global_point,2968000,2024-02-15
global_point,2968000,2024-02-21
global_point,2968000,2024-03-01
global_point,2968000,2024-03-14
